RESORT	BUILDING	GRS_CODES	CRDITS_PICKUP	SQUARE_UNIT_MEASUREMENT	SQUARE_UNITS	ORDER_BY	ROOM	KEY_CODE	EXTENSIONS	TURNDOWN	PHONE_NUMBER	DECODE_R_MEETINGROOM_YN_Y_F_ME	RATE_AMOUNT	SMOKING_PREFERENCE	TYPE	CLASS	DESCRIPTION	CREDITS_DEPARTURE	CREDITS_TURNDOWN	CREDITS	FLOOR	ROOM_FLOOR	RATE_CODE	MAX_OCCUPANCY	HK_SECTION_CODE	HK_EVENING_SECTION	COMPONENT_ROOM	CONNECTING_SUITES	FEATURES	OVOS_GRADE_CODE
MALHA			.25		22.01	1	0502			N		N		NS	KOTG	DLX FAM	Deluxe King Family Room	1	0	.6	5	05		3	05B				TOW,SBY,ST,OR,MIX,SFB	
MALHA			.25		22.01	1	0503			N		N		NS	TOTG	DLX FAM	Deluxe Twin Family Room	1	0	.6	5	05		3	05B			0504	CON,TOW,SBY,ST,OR,MIX,SFB	
MALHA			.25		22.01	1	0504			N		N		NS	TOTG	DLX FAM	Deluxe Twin Family Room	1	0	.6	5	05		3	05B			0503	CON,TOW,NE,BLU,ST,SFB,MIX	
MALHA			.25		22.01	1	0505			N		N		NS	KOTG	DLX FAM	Deluxe King Family Room	1	0	.6	5	05		4	05B			0506	CON,BAY,NE,ST,LBA,OR,SFB,MIX	
MALHA			.25		22.42	1	0506			N		N		NS	KOTG	DLX FAM	Deluxe King Family Room	1	0	.6	5	05		3	05B			0505	CON,BAY,NE,BLU,ST,LBA,SFB,MIX	
MALHA			.25		22.42	1	0507			N		N		NS	TOTG	DLX FAM	Deluxe Twin Family Room	1	0	.6	5	05		3	05B				BAY,NE,ST,OR,LBA,MIX,SFB	
MALHA			.25		22.42	1	0508			N		N		NS	TOTG	DLX FAM	Deluxe Twin Family Room	1	0	.6	5	05		3	05B				BAY,OR,SFB,MIX	
MALHA			.25		22.42	1	0509			N		N		NS	TOTG	DLX FAM	Deluxe Twin Family Room	1	0	.6	5	05		4	05B				BAY,OR,SFB,MIX	
MALHA			.25		24.64	1	0510			N		N		NS	TOTG	DLX FAM	Deluxe Twin Family Room	1	0	.6	5	05		4	05B				BAY,OR,SBA,LRG,SFB,MIX	
MALHA			.25		25.03	1	0511			N		N		NS	KWCG	DLX	W/Chair Accessible room	1	0	.5	5	05		2	05B			0514	CON,SGAR,YEL,QT,WHC,LRG,MIX	
MALHA			.25		24.64	1	0512			N		N		NS	TOTG	DLX FAM	Deluxe Twin Family Room	1	0	.6	5	05		4	05B				BAY,OR,NBA,LRG,SFB,MIX	
MALHA			.5		26.34	1	0513			N		N		NS	TOTG	DLX FAM	Deluxe Twin Family Room	1.5	0	1	5	05		4	05B				BAY,OR,NBA,LRG,SFB,MIX	
MALHA			.25		33.62	1	0514			N		N		NS	KSUG	DLX	Deluxe King Small Garden	1	0	.5	5	05		2	05B			0511	CON,SGAR,YEL,LRG,MIX	
MALHA			.25		21.88	1	0515			N		N		NS	TSUG	DLX	Deluxe Twin Small Garden	1	0	.5	5	05		4	05B				SGAR,PUR,REV,HVA,MIX	
MALHA			.25		21.88	1	0516			N		N		NS	TSUG	DLX	Deluxe Twin Small Garden	1	0	.5	5	05		4	05B				SGAR,AWY,ST,PUR,HVA,MIX	
MALHA			.25		21.88	1	0517			N		N		NS	TSUG	DLX	Deluxe Twin Small Garden	1	0	.5	5	05		4	05B				SGAR,AWY,ST,PUR,HVA,MIX	
MALHA			.25		21.88	1	0518			N		N		NS	KSUG	DLX	Deluxe King Small Garden	1	0	.5	5	05		2	05B				SGAR,AWY,ST,PUR,HVA,MIX	
MALHA			.25		22.01	1	0601			N		N		NS	TOTG	DLX FAM	Deluxe Twin Family Room	1	0	.6	6	06		3	06B			0602	CON,TOW,ST,OR,NBA,SFB,MIX	
MALHA			.25		22.01	1	0602			N		N		NS	KOTG	DLX FAM	Deluxe King Family Room	1	0	.6	6	06		3	06B			0601	CON,TOW,ST,OR,SBA,MIX,SFB	
MALHA			.25		22.01	1	0603			N		N		NS	TOTG	DLX FAM	Deluxe Twin Family Room	1	0	.6	6	06		3	06B			0604	CON,BAY,TOW,SBY,OR,SFB,MIX	
MALHA			.25		22.01	1	0604			N		N		NS	KOTG	DLX FAM	Deluxe King Family Room	1	0	.6	6	06		3	06B			0603	CON,TOW,NE,OR,SFB,MIX	
MALHA			.25		22.42	1	0607			N		N		NS	TOTG	DLX FAM	Deluxe Twin Family Room	1	0	.6	6	06		3	06B				TOW,SBY,NE,BLU,ST,LBA,SFB,MIX	
MALHA			.25		22.42	1	0608			N		N		NS	TOTG	DLX FAM	Deluxe Twin Family Room	1	0	.6	6	06		3	06B				TOW,NE,LBA,OR,SFB,MIX	
MALHA			.25		22.42	1	0609			N		N		NS	TOTG	DLX FAM	Deluxe Twin Family Room	1	0	.6	6	06		3	06B				BAY,NE,OR,SFB,MIX	
MALHA			.25		24.64	1	0610			N		N		NS	TOTG	DLX FAM	Deluxe Twin Family Room	1	0	.6	6	06		4	06B				BAY,OR,LRG,SFB,MIX	
MALHA			.25		25.03	1	0611			N		N		NS	KWCG	DLX	W/Chair Accessible room	1	0	.6	6	06		2	06B			0614	CON,SGAR,YEL,WHC,ACC,MIX	
MALHA			.25		24.64	1	0612			N		N		NS	TOTG	DLX FAM	Deluxe Twin Family Room	1	0	.6	6	06		4	06B			0613	CON,BAY,OR,SBA,LRG,SFB,MIX	
MALHA			.5		30.25	1	0613			N		N		NS	TOTG	DLX FAM	Deluxe Twin Family Room	1.5	0	1	6	06		4	06B			0612	CON,BAY,SBY,AWY,LBA,OR,LRG,SFB,MIX	
MALHA			.25		33.62	1	0614			N		N		NS	KSUG	DLX	Deluxe King Small Garden	1	0	.5	6	06		2	06B			0611	SGAR,YEL,MIX	
MALHA			.25		21.88	1	0615			N		N		NS	TSUG	DLX	Deluxe Twin Small Garden	1	0	.5	6	06		4	06B				SGAR,PUR,HVA,MIX	
MALHA			.25		21.88	1	0616			N		N		NS	TSUG	DLX	Deluxe Twin Small Garden	1	0	.5	6	06		4	06B				SGAR,PUR,HVA,MIX	
MALHA			.25		21.88	1	0617			N		N		NS	TSUG	DLX	Deluxe Twin Small Garden	1	0	.5	6	06		4	06B				SGAR,AWY,ST,PUR,HVA,MIX	
MALHA			.25		21.88	1	0618			N		N		NS	KSUG	DLX	Deluxe King Small Garden	1	0	.5	6	06		2	06B				SGAR,AWY,ST,PUR,HVA,MIX	
